Price,Nr Bedrooms,Nr Bathrooms,Location,Size,,City
71999,3,2," Hamdan Street, Abu Dhabi",1900,sqft,Abu Dhabi
80000,3,4," Hamdan Street, Abu Dhabi",1600,sqft,Abu Dhabi
65000,3,3," Hamdan Street, Abu Dhabi",1400,sqft,Abu Dhabi
85000,3,2," Hamdan Street, Abu Dhabi",2200,sqft,Abu Dhabi
65000,3,3," Hamdan Street, Abu Dhabi",1810,sqft,Abu Dhabi
70000,3,3," Hamdan Street, Abu Dhabi",1600,sqft,Abu Dhabi
67000,3,4," Hamdan Street, Abu Dhabi",1850,sqft,Abu Dhabi
80000,3,4," Hamdan Street, Abu Dhabi",2400,sqft,Abu Dhabi
69999,3,4," Hamdan Street, Abu Dhabi",2000,sqft,Abu Dhabi
69999,3,4," Hamdan Street, Abu Dhabi",2000,sqft,Abu Dhabi
79999,3,4," Hamdan Street, Abu Dhabi",2350,sqft,Abu Dhabi
79999,3,4," Hamdan Street, Abu Dhabi",2350,sqft,Abu Dhabi
84999,3,5," Hamdan Street, Abu Dhabi",2350,sqft,Abu Dhabi
95000,3,4," Hamdan Street, Abu Dhabi",2637,sqft,Abu Dhabi
65000,3,3," Hamdan Street, Abu Dhabi",1600,sqft,Abu Dhabi
85000,3,3," Hamdan Street, Abu Dhabi",1750,sqft,Abu Dhabi
80000,3,4," Hamdan Street, Abu Dhabi",2500,sqft,Abu Dhabi
204999,3,5,"Saadiyat Island, Abu Dhabi",3720,sqft,Abu Dhabi
224999,3,5,"Saadiyat Island, Abu Dhabi",3820,sqft,Abu Dhabi
399999,3,5,"Saadiyat Island, Abu Dhabi",5320,sqft,Abu Dhabi
250000,3,5,"Saadiyat Island, Abu Dhabi",2800,sqft,Abu Dhabi
320000,3,5,"Saadiyat Island, Abu Dhabi",2680,sqft,Abu Dhabi
260000,3,4,"Saadiyat Island, Abu Dhabi",2830,sqft,Abu Dhabi
360000,3,5,"Saadiyat Island, Abu Dhabi",3714,sqft,Abu Dhabi
210000,3,5,"Saadiyat Island, Abu Dhabi",2665,sqft,Abu Dhabi
210000,3,5,"Saadiyat Island, Abu Dhabi",2665,sqft,Abu Dhabi
270000,3,5,"Saadiyat Island, Abu Dhabi",2970,sqft,Abu Dhabi
280000,3,4,"Saadiyat Island, Abu Dhabi",2777,sqft,Abu Dhabi
430000,3,4,"Saadiyat Island, Abu Dhabi",4917,sqft,Abu Dhabi
320000,3,5,"Saadiyat Island, Abu Dhabi",2895,sqft,Abu Dhabi
309999,3,5,"Saadiyat Island, Abu Dhabi",3864,sqft,Abu Dhabi
340000,3,4,"Saadiyat Island, Abu Dhabi",2560,sqft,Abu Dhabi
210000,3,5,"Saadiyat Island, Abu Dhabi",2562,sqft,Abu Dhabi
220000,3,4,"Saadiyat Island, Abu Dhabi",2680,sqft,Abu Dhabi
250000,3,4,"Saadiyat Island, Abu Dhabi",2679,sqft,Abu Dhabi
225000,3,4,"Saadiyat Island, Abu Dhabi",2840,sqft,Abu Dhabi
250000,3,4,"Saadiyat Island, Abu Dhabi",2799,sqft,Abu Dhabi
320000,3,3,"Saadiyat Island, Abu Dhabi",3583,sqft,Abu Dhabi
260000,3,4,"Saadiyat Island, Abu Dhabi",3038,sqft,Abu Dhabi
150000,3,5,"Saadiyat Island, Abu Dhabi",2100,sqft,Abu Dhabi
